Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
78,2017,17-Mar-17,Midwest,First Round,7 Michigan,92,10 Oklahoma State,91,,1,"Indianapolis, IN"
79,2017,17-Mar-17,Midwest,First Round,8 Miami (FL),58,9 Michigan State,78,,-20,"Tulsa, OK"
80,2017,17-Mar-17,East,First Round,10 Marquette,73,7 South Carolina,93,,-20,"Greenville, SC"
81,2017,17-Mar-17,Midwest,First Round,2 Louisville,78,15 Jacksonville State,63,,15,"Indianapolis, IN"
82,2017,17-Mar-17,South,First Round,2 Kentucky,79,15 Northern Kentucky,70,,9,"Indianapolis, IN"
83,2017,17-Mar-17,South,First Round,14 Kent State,80,3 UCLA,97,,-17,"Sacramento, CA"
84,2017,17-Mar-17,South,First Round,11 Kansas State,61,6 Cincinnati,75,,-14,"Sacramento, CA"
85,2017,17-Mar-17,Midwest,First Round,1 Kansas,100,16 California-Davis,62,,38,"Tulsa, OK"
86,2017,17-Mar-17,Midwest,First Round,15 Jacksonville State,63,2 Louisville,78,,-15,"Indianapolis, IN"
87,2017,17-Mar-17,Midwest,First Round,14 Iona,77,3 Oregon,93,,-16,"Sacramento, CA"
88,2017,17-Mar-17,East,First Round,2 Duke,87,15 Troy,65,,22,"Greenville, SC"
89,2017,17-Mar-17,South,First Round,7 Dayton,58,10 Wichita State,64,,-6,"Indianapolis, IN"
90,2017,17-Mar-17,Midwest,First Round,6 Creighton,72,11 Rhode Island,84,,-12,"Sacramento, CA"
91,2017,17-Mar-17,South,First Round,6 Cincinnati,75,11 Kansas State,61,,14,"Sacramento, CA"
92,2017,17-Mar-17,Midwest,First Round,16 California-Davis,62,1 Kansas,100,,-38,"Tulsa, OK"
93,2017,17-Mar-17,East,First Round,3 Baylor,91,14 New Mexico State,73,,18,"Tulsa, OK"
94,2017,17-Mar-17,South,First Round,8 Arkansas,77,9 Seton Hall,71,,6,"Greenville, SC"
95,2017,16-Mar-17,West,First Round,11 Xavier,76,6 Maryland,65,,11,"Orlando, FL"
96,2017,16-Mar-17,East,First Round,8 Wisconsin,84,9 Virginia Tech,74,,10,"Buffalo, NY"
97,2017,16-Mar-17,South,First Round,13 Winthrop,64,4 Butler,76,,-12,"Milwaukee, WI"
98,2017,16-Mar-17,West,First Round,4 West Virginia,86,13 Bucknell,80,,6,"Buffalo, NY"
99,2017,16-Mar-17,East,First Round,9 Virginia Tech,74,8 Wisconsin,84,,-10,"Buffalo, NY"
100,2017,16-Mar-17,West,First Round,10 Virginia Commonwealth,77,7 Saint Mary's (CA),85,,-8,"Salt Lake City, UT"
101,2017,16-Mar-17,East,First Round,5 Virginia,76,12 North Carolina-Wilmington,71,,5,"Orlando, FL"
102,2017,16-Mar-17,East,First Round,1 Villanova,76,16 Mount St. Mary's,56,,20,"Buffalo, NY"
103,2017,16-Mar-17,Midwest,First Round,13 Vermont,70,4 Purdue,80,,-10,"Milwaukee, WI"
104,2017,16-Mar-17,West,First Round,9 Vanderbilt,66,8 Northwestern,68,,-2,"Salt Lake City, UT"
105,2017,16-Mar-17,West,First Round,16 South Dakota State,46,1 Gonzaga,66,,-20,"Salt Lake City, UT"
106,2017,16-Mar-17,West,First Round,7 Saint Mary's (CA),85,10 Virginia Commonwealth,77,,8,"Salt Lake City, UT"
107,2017,16-Mar-17,Midwest,First Round,4 Purdue,80,13 Vermont,70,,10,"Milwaukee, WI"
108,2017,16-Mar-17,West,First Round,12 Princeton,58,5 Notre Dame,60,,-2,"Buffalo, NY"
109,2017,16-Mar-17,West,First Round,5 Notre Dame,60,12 Princeton,58,,2,"Buffalo, NY"
110,2017,16-Mar-17,West,First Round,8 Northwestern,68,9 Vanderbilt,66,,2,"Salt Lake City, UT"
111,2017,16-Mar-17,West,First Round,15 North Dakota,82,2 Arizona,100,,-18,"Salt Lake City, UT"
112,2017,16-Mar-17,East,First Round,12 North Carolina-Wilmington,71,5 Virginia,76,,-5,"Orlando, FL"
113,2017,16-Mar-17,Midwest,First Round,12 Nevada,73,5 Iowa State,84,,-11,"Milwaukee, WI"
114,2017,16-Mar-17,East,First Round,16 Mount St. Mary's,56,1 Villanova,76,,-20,"Buffalo, NY"
115,2017,16-Mar-17,South,First Round,5 Minnesota,72,12 Middle Tennessee,81,,-9,"Milwaukee, WI"
116,2017,16-Mar-17,South,First Round,12 Middle Tennessee,81,5 Minnesota,72,,9,"Milwaukee, WI"
117,2017,16-Mar-17,West,First Round,6 Maryland,65,11 Xavier,76,,-11,"Orlando, FL"
118,2017,16-Mar-17,Midwest,First Round,5 Iowa State,84,12 Nevada,73,,11,"Milwaukee, WI"
119,2017,16-Mar-17,West,First Round,1 Gonzaga,66,16 South Dakota State,46,,20,"Salt Lake City, UT"
120,2017,16-Mar-17,West,First Round,3 Florida State,86,14 Florida Gulf Coast,80,,6,"Orlando, FL"
121,2017,16-Mar-17,West,First Round,14 Florida Gulf Coast,80,3 Florida State,86,,-6,"Orlando, FL"
122,2017,16-Mar-17,East,First Round,4 Florida,80,13 East Tennessee State,65,,15,"Orlando, FL"
123,2017,16-Mar-17,East,First Round,13 East Tennessee State,65,4 Florida,80,,-15,"Orlando, FL"
124,2017,16-Mar-17,South,First Round,4 Butler,76,13 Winthrop,64,,12,"Milwaukee, WI"
125,2017,16-Mar-17,West,First Round,13 Bucknell,80,4 West Virginia,86,,-6,"Buffalo, NY"
126,2017,16-Mar-17,West,First Round,2 Arizona,100,15 North Dakota,82,,18,"Salt Lake City, UT"
127,2017,15-Mar-17,East,First Four,11 Southern California,75,11 Providence,71,,4,"Dayton, OH"
128,2017,15-Mar-17,East,First Four,11 Providence,71,11 Southern California,75,,-4,"Dayton, OH"
129,2017,15-Mar-17,Midwest,First Four,16 North Carolina Central,63,16 California-Davis,67,,-4,"Dayton, OH"
130,2017,15-Mar-17,Midwest,First Four,16 California-Davis,67,16 North Carolina Central,63,,4,"Dayton, OH"
