Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
487,2014,21-Mar-14,East,Second Round,3ÊIowa State,93,14ÊNorth Carolina Central,75,,18,"San Antonio, TX"
488,2014,21-Mar-14,West,Second Round,8ÊGonzaga,85,9ÊOklahoma State,77,,8,"San Diego, CA"
489,2014,21-Mar-14,East,Second Round,9ÊGeorge Washington,66,8ÊMemphis,71,,-5,"Raleigh, NC"
490,2014,21-Mar-14,South,Second Round,15ÊEastern Kentucky,69,2ÊKansas,80,,-11,"St. Louis, MO"
491,2014,21-Mar-14,Midwest,Second Round,3ÊDuke,71,14ÊMercer,78,,-7,"Raleigh, NC"
492,2014,21-Mar-14,West,Second Round,3ÊCreighton,76,14ÊLouisiana,66,,10,"San Antonio, TX"
493,2014,21-Mar-14,East,Second Round,16ÊCoastal Carolina,59,1ÊVirginia,70,,-11,"Raleigh, NC"
494,2014,21-Mar-14,Midwest,Second Round,16ÊCal Poly,37,1ÊWichita State,64,,-27,"St. Louis, MO"
495,2014,21-Mar-14,West,Second Round,6ÊBaylor,74,11ÊNebraska,60,,14,"San Antonio, TX"
496,2014,21-Mar-14,West,Second Round,1ÊArizona,68,16ÊWeber State,59,,9,"San Diego, CA"
497,2014,20-Mar-14,Midwest,Second Round,15ÊWofford,40,2ÊMichigan,57,,-17,"Milwaukee, WI"
498,2014,20-Mar-14,West,Second Round,2ÊWisconsin,75,15ÊAmerican,35,,40,"Milwaukee, WI"
499,2014,20-Mar-14,South,Second Round,14ÊWestern Michigan,53,3ÊSyracuse,77,,-24,"Buffalo, NY"
500,2014,20-Mar-14,East,Second Round,2ÊVillanova,73,15ÊMilwaukee,53,,20,"Buffalo, NY"
